Borough,Avg Price
Barking and Dagenham,"201,400"
Barnet,"379,846"
Bexley,"229,685"
Brent,"339,946"
Bromley,"309,756"
Camden,"611,540"
Croydon,"250,137"
Ealing,"350,021"
Enfield,"288,933"
Greenwich,"291,809"
Hackney,"379,399"
Hammersmith and Fulham,"570,882"
Haringey,"391,077"
Harrow,"338,351"
Havering,"242,152"
Hillingdon,"288,177"
Hounslow,"291,290"
Islington,"464,752"
Kensington and Chelsea,"1,112,813"
Kingston upon Thames,"348,304"
Lambeth,"373,099"
Lewisham,"291,845"
Merton,"358,220"
Newham,"262,006"
Redbridge,"285,007"
Richmond upon Thames,"478,802"
Southwark,"395,812"
Sutton,"252,823"
Tower Hamlets,"341,878"
Waltham Forest,"297,053"
Wandsworth,"488,896"
Westminster,"905,015"
